model,n,Ef_MAE,Ef_RMSE,Ed_MAE,Ed_RMSE,rms_xi,median_xi
ElFrac,82882,0.2314,0.328,0.1722,0.275,0.7471,0.4759
Meredig,82882,0.169,0.2498,0.1791,0.2816,0.9212,0.6823
Magpie,82882,0.133,0.2071,0.1564,0.2496,0.9869,0.7948
AutoMat,82882,0.1243,0.1997,0.1487,0.2337,1.0026,0.8784
ElemNet,82882,0.0971,0.1823,0.1158,0.2079,1.0331,0.9012
Roost,82882,0.0563,0.1419,0.0809,0.167,1.0997,1.0396
CGCNN,82882,0.034,0.062,0.0419,0.0706,1.0184,0.9247
GammaLoss_0,82882,0.1093,0.1907,0.1409,0.2353,1.0778,0.9755
GammaLoss_0.1,82882,0.1271,0.2123,0.1347,0.2326,0.9265,0.7981
GammaLoss_0.2,82882,0.1457,0.2334,0.1498,0.2478,0.9167,0.7801
GammaLoss_0.3,82882,0.1678,0.2592,0.1653,0.264,0.8944,0.7502
GammaLoss_0.5,82882,0.1988,0.2955,0.1909,0.2929,0.887,0.7371
