model,n_xi,n_hd,Hf_MAE,Hf_RMSE,Hd_MAE,Hd_RMSE,rms_xi,median_xi,F1,Precision,Recall,TP,FP,FN,TN
iiLoss_0.0,99306,101491,0.0992,0.1773,0.1346,0.2225,1.1071,0.9614,0.5202,0.3846,0.8034,27550,44088,6741,23112
iiLoss_0.1,99306,101491,0.1389,0.2285,0.153,0.2516,0.9777,0.9014,0.4922,0.371,0.7309,25062,42487,9229,24713
iiLoss_0.2,99306,101491,0.1587,0.2535,0.1689,0.272,0.9552,0.8682,0.4826,0.3596,0.7336,25155,44795,9136,22405
iiLoss_0.3,99306,101491,0.1769,0.2774,0.18,0.2879,0.92,0.8191,0.4734,0.3522,0.7222,24764,45558,9527,21642
iiLoss_0.4,99306,101491,0.1866,0.2914,0.1898,0.2996,0.9265,0.8304,0.4673,0.3448,0.7252,24868,47263,9423,19937
iiLoss_0.5,99306,101491,0.1973,0.3031,0.1986,0.3101,0.921,0.8171,0.465,0.3436,0.719,24654,47091,9637,20109
iiLoss_0.6,99306,101491,0.211,0.3202,0.209,0.3222,0.9152,0.8022,0.4603,0.3377,0.7225,24775,48592,9516,18608
iiLoss_0.7,99306,101491,0.2263,0.3319,0.2245,0.3358,0.9035,0.7791,0.4585,0.3391,0.7078,24270,47300,10021,19900
iiLoss_0.8,99306,101491,0.2478,0.3583,0.2479,0.3644,0.9138,0.8064,0.4565,0.3309,0.7356,25225,50998,9066,16202
iiLoss_0.9,99306,101491,0.2718,0.3839,0.272,0.3914,0.9055,0.7781,0.4508,0.3321,0.7014,24051,48360,10240,18840
iiLoss_1.0,99306,101491,0.3414,0.4748,0.3436,0.4866,0.9095,0.7835,0.4506,0.3293,0.7134,24463,49815,9828,17385
iiLoss_finetune_0.0,99306,101491,0.0975,0.1751,0.1325,0.2198,1.1065,0.9648,0.521,0.3861,0.8005,27450,43639,6841,23561
iiLoss_pcgrad_0.1,99306,101491,0.0968,0.1744,0.1243,0.2122,1.0803,0.9516,0.5249,0.4003,0.7621,26133,39150,8158,28050
iiLoss_pcgrad_0.2,99306,101491,0.0969,0.1745,0.1235,0.2115,1.078,0.9534,0.5271,0.4038,0.7588,26021,38427,8270,28773
iiLoss_pcgrad_0.3,99306,101491,0.0967,0.1743,0.1234,0.2113,1.0767,0.9467,0.5265,0.403,0.7594,26039,38579,8252,28621
iiLoss_pcgrad_0.4,99306,101491,0.0972,0.175,0.124,0.212,1.0791,0.9557,0.5252,0.4016,0.7586,26012,38753,8279,28447
iiLoss_pcgrad_0.5,99306,101491,0.0973,0.1751,0.1236,0.2115,1.0775,0.9628,0.5253,0.4031,0.7537,25846,38273,8445,28927
