model,n,Ef_MAE,Ef_RMSE,Ed_MAE,Ed_RMSE,rms_xi,median_xi
iiLoss_0.0,99306,0.0992,0.1773,0.1496,0.3048,1.037,0.9272
iiLoss_0.1,99306,0.1389,0.2285,0.1776,0.3399,0.9625,0.9469
iiLoss_0.2,99306,0.1587,0.2535,0.1978,0.3749,0.9504,0.9343
iiLoss_0.3,99306,0.1769,0.2774,0.213,0.3996,0.9247,0.9069
iiLoss_0.4,99306,0.1866,0.2914,0.222,0.4267,0.9277,0.9111
iiLoss_0.5,99306,0.1973,0.3031,0.233,0.4402,0.9235,0.9042
iiLoss_0.6,99306,0.211,0.3202,0.2508,0.4861,0.9172,0.897
iiLoss_0.7,99306,0.2263,0.3319,0.2774,0.5357,0.9093,0.8842
iiLoss_0.8,99306,0.2478,0.3583,0.2933,0.542,0.9172,0.897
iiLoss_0.9,99306,0.2718,0.3839,0.3299,0.6116,0.9144,0.884
iiLoss_1.0,99306,0.3414,0.4748,0.4111,0.7656,0.9151,0.8852
iiLoss_finetune_0.01,99306,0.0997,0.178,0.1385,0.2764,1.0198,0.9797
iiLoss_finetune_0.02,99306,0.1021,0.1807,0.1386,0.2733,1.0123,0.9859
iiLoss_finetune_0.05,99306,0.1074,0.1869,0.1422,0.2727,1.004,0.9912
iiLoss_finetune_0.1,99306,0.1132,0.1934,0.1473,0.2761,0.9924,0.9852
iiLoss_finetune_0.2,99306,0.1195,0.2009,0.1497,0.2733,0.982,0.982
iiLoss_pcgrad_0.1,99306,0.0968,0.1744,0.1387,0.2831,1.0197,0.9373
iiLoss_pcgrad_0.2,99306,0.0969,0.1745,0.1382,0.2821,1.0187,0.9423
iiLoss_pcgrad_0.3,99306,0.0967,0.1743,0.1378,0.2817,1.0174,0.9365
iiLoss_pcgrad_0.4,99306,0.0972,0.175,0.1382,0.2816,1.0195,0.9441
iiLoss_pcgrad_0.5,99306,0.0973,0.1751,0.1378,0.2802,1.0203,0.9552
iiLoss_pcgrad_0.6,99306,0.0994,0.1777,0.1411,0.2835,1.0246,0.9768
iiLoss_pcgrad_0.7,99306,0.1047,0.1836,0.1466,0.2847,1.0212,0.9824
iiLoss_pcgrad_0.8,99306,0.1045,0.1835,0.1474,0.2865,1.0281,0.9919
iiLoss_pcgrad_0.9,99306,0.1218,0.2032,0.1661,0.3025,1.0186,0.9967
iiLoss_save_0.0,99306,0.0993,0.1774,0.1504,0.3015,1.0377,0.9272
EdLoss_0.0,99306,0.0998,0.1779,0.1503,0.3033,1.0355,0.9259
EdLoss_0.1,99306,0.1465,0.2575,0.1684,0.3032,1.01,1.0051
EdLoss_0.2,99306,0.1568,0.2724,0.1782,0.3201,1.0093,1.0027
EdLoss_0.3,99306,0.1601,0.2774,0.1804,0.3227,1.0074,1.0021
EdLoss_0.4,99306,0.166,0.285,0.1857,0.3316,1.0016,0.9981
EdLoss_0.5,99306,0.1664,0.2857,0.186,0.33,1.0066,1.0017
EdLoss_0.6,99306,0.1696,0.2907,0.1879,0.3314,1.0019,0.9989
EdLoss_0.7,99306,0.1706,0.2918,0.1895,0.3359,1.0033,0.9983
EdLoss_0.8,99306,0.1703,0.2919,0.1888,0.3352,1.0028,0.9981
EdLoss_pcgrad_0.1,99306,0.0974,0.1763,0.1415,0.2866,1.0282,0.9253
EdLoss_pcgrad_0.2,99306,0.0964,0.1752,0.1376,0.2785,1.025,0.9246
EdLoss_pcgrad_0.3,99306,0.097,0.1769,0.1367,0.2699,1.0345,0.9622
EdLoss_pcgrad_0.4,99306,0.0961,0.176,0.135,0.2704,1.0308,0.9496
EdLoss_pcgrad_0.5,99306,0.0968,0.1773,0.1391,0.2801,1.0359,0.9593
EdLoss_pcgrad_0.6,99306,0.0977,0.1786,0.1408,0.2835,1.0358,0.9614
EdLoss_pcgrad_0.7,99306,0.0985,0.1799,0.139,0.2742,1.0359,0.9649
EdLoss_pcgrad_0.8,99306,0.1003,0.1829,0.1481,0.2932,1.0416,0.9796
EdLoss_pcgrad_0.9,99306,0.3085,0.4875,0.4563,1.098,0.9554,0.9535
EdLoss_pcgrad_1.0,99306,0.4171,0.6725,0.4149,0.7713,0.8921,0.9015
