model,n_perov,Hf_MAE,Hf_RMSE,Hd_MAE,Hd_RMSE,mean_xi,median_xi,F1,Precision,Recall,TP,FP,FN,TN
HdLoss_0.0,1192,0.1983,0.3064,0.2390,0.3639,0.9195,0.9379,0.5110,0.3591,0.8857,372,664,48,108
HdLoss_0.1,1192,0.1788,0.2899,0.1887,0.3105,0.9009,0.9966,0.5445,0.4426,0.7071,297,374,123,398
HdLoss_0.2,1192,0.1755,0.2854,0.1925,0.3132,0.8837,0.9400,0.5574,0.4561,0.7167,301,359,119,413
HdLoss_0.3,1192,0.1827,0.2931,0.1940,0.3177,0.9003,0.9621,0.5374,0.4389,0.6929,291,372,129,400
HdLoss_0.4,1192,0.1867,0.2965,0.2008,0.3240,0.9079,0.9959,0.5401,0.4406,0.6976,293,372,127,400
HdLoss_0.5,1192,0.1860,0.2948,0.2064,0.3263,0.9137,0.9748,0.5349,0.4319,0.7024,295,388,125,384
HdLoss_0.6,1192,0.1849,0.2919,0.1968,0.3174,0.8862,0.9445,0.5401,0.4379,0.7048,296,380,124,392
HdLoss_0.7,1192,0.1853,0.2927,0.2101,0.3327,0.9195,0.9670,0.5318,0.4261,0.7071,297,400,123,372
HdLoss_0.8,1192,0.1943,0.3026,0.2107,0.3325,0.9110,0.9888,0.5246,0.4248,0.6857,288,390,132,382
HdLoss_0.9,1192,0.1896,0.2953,0.2070,0.3265,0.9157,0.9779,0.5196,0.4266,0.6643,279,375,141,397
HdLoss_pcgrad_0.1,1192,0.1834,0.2935,0.2036,0.3293,0.8750,0.9087,0.5308,0.4027,0.7786,327,485,93,287
HdLoss_pcgrad_0.2,1192,0.1820,0.2920,0.2003,0.3264,0.8737,0.9278,0.5380,0.4116,0.7762,326,466,94,306
HdLoss_pcgrad_0.3,1192,0.1825,0.2923,0.1988,0.3246,0.8667,0.8971,0.5426,0.4177,0.7738,325,453,95,319
HdLoss_pcgrad_0.4,1192,0.1892,0.2998,0.2027,0.3295,0.8667,0.9021,0.5396,0.4178,0.7619,320,446,100,326
HdLoss_pcgrad_0.5,1192,0.1881,0.2970,0.2098,0.3357,0.8619,0.8989,0.5243,0.4044,0.7452,313,461,107,311
HdLoss_pcgrad_0.6,1192,0.1955,0.3028,0.2178,0.3449,0.8677,0.9069,0.5257,0.4068,0.7429,312,455,108,317
HdLoss_pcgrad_0.7,1192,0.1922,0.2989,0.2078,0.3336,0.8539,0.8832,0.5185,0.4062,0.7167,301,440,119,332
HdLoss_pcgrad_0.8,1192,0.1992,0.3028,0.2008,0.3217,0.8440,0.8517,0.5342,0.4405,0.6786,285,362,135,410
HdLoss_pcgrad_0.9,1192,0.2104,0.3081,0.1986,0.3066,0.8262,0.8523,0.5175,0.4564,0.5976,251,299,169,473
iiLoss_0.0,1192,0.1983,0.3064,0.2390,0.3639,0.9195,0.9379,0.5110,0.3591,0.8857,372,664,48,108
iiLoss_0.1,1192,0.2914,0.3902,0.2628,0.3708,0.8484,0.8630,0.4557,0.3915,0.5452,229,356,191,416
iiLoss_0.2,1192,0.3767,0.4782,0.3564,0.4597,0.8789,0.9242,0.3906,0.3423,0.4548,191,367,229,405
iiLoss_0.3,1192,0.4694,0.5742,0.4639,0.5717,0.9109,0.9763,0.4011,0.3339,0.5024,211,421,209,351
iiLoss_0.4,1192,0.5224,0.6295,0.4764,0.6247,0.8081,0.7991,0.3834,0.3722,0.3952,166,280,254,492
iiLoss_0.5,1192,0.5780,0.6906,0.4500,0.6250,0.7256,0.6925,0.4061,0.4028,0.4095,172,255,248,517
iiLoss_0.6,1192,0.6806,0.7862,0.3986,0.5429,0.6158,0.5865,0.4256,0.4611,0.3952,166,194,254,578
iiLoss_0.7,1192,0.8523,0.9743,0.8256,1.0047,0.8692,0.9229,0.4263,0.3375,0.5786,243,477,177,295
iiLoss_0.8,1192,0.9161,1.0440,0.6196,0.8243,0.6517,0.6547,0.4476,0.4971,0.4071,171,173,249,599
iiLoss_0.9,1192,1.4665,1.6417,0.7895,0.9950,0.5754,0.5999,0.4142,0.5123,0.3476,146,139,274,633
iiLoss_pcgrad_0.1,1192,0.1914,0.2991,0.2109,0.3366,0.8733,0.8866,0.5194,0.3813,0.8143,342,555,78,217
iiLoss_pcgrad_0.2,1192,0.1898,0.2967,0.2072,0.3308,0.8855,0.9253,0.5149,0.3841,0.7810,328,526,92,246
iiLoss_pcgrad_0.3,1192,0.1879,0.2948,0.2036,0.3291,0.8594,0.8700,0.5236,0.3881,0.8048,338,533,82,239
iiLoss_pcgrad_0.4,1192,0.1933,0.2972,0.2028,0.3295,0.8374,0.8246,0.5204,0.3885,0.7881,331,521,89,251
iiLoss_pcgrad_0.5,1192,0.1922,0.2956,0.2011,0.3275,0.8367,0.8334,0.5273,0.3950,0.7929,333,510,87,262
iiLoss_pcgrad_0.6,1192,0.1949,0.2956,0.2015,0.3266,0.8311,0.8187,0.5178,0.3922,0.7619,320,496,100,276
iiLoss_pcgrad_0.7,1192,0.1943,0.2976,0.2007,0.3268,0.8410,0.8303,0.5204,0.3920,0.7738,325,504,95,268
iiLoss_pcgrad_0.8,1192,0.1984,0.2969,0.1992,0.3234,0.8101,0.7712,0.5136,0.3932,0.7405,311,480,109,292
iiLoss_pcgrad_0.9,1192,0.1989,0.2959,0.1939,0.3187,0.7969,0.7362,0.5348,0.4099,0.7690,323,465,97,307
iiLoss_save_0.0,1192,0.1983,0.3064,0.2390,0.3639,0.9195,0.9379,0.5110,0.3591,0.8857,372,664,48,108
